_id,category1,category2,maker,category3,standard,vehicleType,year,mainPrice,privatePrice
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2012 12,700,000 12,700,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2012,"12,700,000","12,700,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2013 13,600,000 13,600,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2013,"13,600,000","13,600,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2014 14,500,000 14,500,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2014,"14,500,000","14,500,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2015 15,400,000 15,400,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2015,"15,400,000","15,400,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2016 16,700,000 16,700,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2016,"16,700,000","16,700,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2017 18,100,000 18,100,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2017,"18,100,000","18,100,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2018 19,700,000 19,700,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2018,"19,700,000","19,700,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2톤 (2T) 삼호2톤DF20지게차 (GJ03C) 1999 2,300,000 2,300,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2톤 (2T),삼호2톤DF20지게차 (GJ03C),1999,"2,300,000","2,300,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2톤 (2T) 삼호2톤DF20지게차 (GJ03C) 2000 2,600,000 2,600,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2톤 (2T),삼호2톤DF20지게차 (GJ03C),2000,"2,600,000","2,600,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2톤 (2T) 삼호2톤DF20지게차 (GJ03C) 2001 3,200,000 3,200,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2톤 (2T),삼호2톤DF20지게차 (GJ03C),2001,"3,200,000","3,200,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2톤 (2T) 삼호2톤DF20지게차 (GJ03C) 2002 4,000,000 4,000,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2톤 (2T),삼호2톤DF20지게차 (GJ03C),2002,"4,000,000","4,000,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2톤 (2T) 삼호2톤DF20지게차 (GJ03C) 2003 5,000,000 5,000,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2톤 (2T),삼호2톤DF20지게차 (GJ03C),2003,"5,000,000","5,000,000"
